npsn,nama,jenjang,status,kabupaten,kecamatan,alamat_jalan,dusun,kode_pos,telepon,email,website,akreditasi,jml_siswa,jml_siswa_l,jml_siswa_p,jml_rombel
20538346,SMK PGRI 1 NGANJUK,SMK,SWASTA,Kab. Nganjuk,Kec. Nganjuk,Jl. Barito No.112 Nganjuk Kab. Nganjuk,begadung,64413,0358322052,smkpgri1ngj@gmail.com,http://www.smkpgri1-nganjuk.sch.id,A,2506,2169,337,70
20517785,SMAS AN NUR BULULAWANG,SMA,SWASTA,Kab. Malang,Kec. Bululawang,JL. RAYA BULULAWANG,Bululawang,65171,0341833366,smasannur89@gmail.com,http://www.smasannur.sch.id,A,2494,1091,1403,68
20508448,SMKS PGRI 1 NGAWI,SMK,SWASTA,Kab. Ngawi,Kec. Ngawi,"JL. RAJAWALI NO.32 BERAN, NGAWI",Beran,63216,0351746081,tatausahasmkpgri1ngawi@gmail.com,http://www.smkpgri1ngawi.sch.id,A,2484,1879,605,70
20554703,SMK NEGERI 1 REJOTANGAN,SMK,NEGERI,Kab. Tulungagung,Kec. Rejotangan,JLN RAYA BUNTARAN TULUNGAGUNG,kebonagung,66293,0355394057,smkn1rejotangan@gmail.com,http://www.smkn1rejotangan.sch.id,A,2470,1388,1082,68
20535097,SMKN 1 BLITAR,SMK,NEGERI,Kota Blitar,Kec. Sananwetan,JL. KENARI 30 BLITAR,,66134,0342801947,info@smkn1blitar.sch.id,http://www.smkn1blitar.sch.id,A,2441,1764,677,72
20533818,SMKN 6 MALANG,SMK,NEGERI,Kota Malang,Kec. Kedungkandang,JL. KI AGENG GRIBIG NO. 28,Madyopuro,65138,0341722216,info@smkn6malang.sch.id,http://www.smkn6malang.sch.id,A,2435,1718,717,75
20551726,SMKN 1 UDANAWU,SMK,NEGERI,Kab. Blitar,Kec. Udanawu,JL. RAYA SLEMANAN UDANAWU BLITAR,Slemanan,66154,0342552030,smkn1udanawu@yahoo.co.id,http://www.smkn1udanawu.sch.id,A,2421,1241,1180,69
20523760,SMKN 5 JEMBER,SMK,NEGERI,Kab. Jember,Kec. Sukorambi,JL. BRAWIJAYA NO. 55 JEMBER,Krajan,68151,0331487535,kaliber.smkn5jember@gmail.com,http://www.smkn5jember.sch.id,A,2413,1441,972,72
20510101,SMKN 1 JENANGAN,SMK,NEGERI,Kab. Ponorogo,Kec. Jenangan,"JL. NIKEN GANDINI NO.98, KEL.SETONO, KEC.JENANGAN, KAB.PONOROGO",Setono,63492,0352481236,smknjenpo@yahoo.com,http://www.smkn1jenpo.sch.id,A,2406,2079,327,68
20555372,SMKS RADEN RAHMAT MOJOSARI,SMK,SWASTA,Kab. Mojokerto,Kec. Mojosari,Jl. Hasanudin 79 Mojosari,Candi rejo,61382,0321598708,smkradenrahmat.mojosari@gmail.com,http://www.smkradenrahmatmojosari.sch.id,A,2405,1704,701,70
20525627,SMKN 1 GLAGAH,SMK,NEGERI,Kab. Banyuwangi,Kec. Glagah,JL. KUNTULAN NO. 1 BANYUWANGI,Krajan,68432,0333421222,smkn1glagah@yahoo.com,http://smkn1glagah.sch.id,A,2380,2088,292,72
20551747,SMKN 1 KADEMANGAN,SMK,NEGERI,Kab. Blitar,Kec. Kademangan,JL. SADEWO 1 KADEMANGAN,-,66161,0342815208,smkkademangan@yahoo.co.id,https://smkkademangan.sch.id,A,2363,1510,853,70
20534398,SMK NEGERI 1 KOTA KEDIRI ,SMK,NEGERI,Kota Kediri,Kec. Mojoroto,JL. VETERAN 9 KEDIRI,SUKORAME,64112,0354772271,smkn1.kediri@gmail.com,http://smkn1kediri.sch.id,A,2353,1934,419,69
20517766,SMKN 1 SINGOSARI,SMK,NEGERI,Kab. Malang,Kec. Singosari,JL. RAYA MONDOROKO NO 03 SINGOSARI,Banjararum,65153,0341458138,smkn1sgsmalang@gmail.com,http://www.smkn1singosari.sch.id,A,2337,1510,827,69
20511918,SMK CANDA BHIRAWA PARE,SMK,SWASTA,Kab. Kediri,Kec. Pare,"JL. PB. SUDIRMAN NO. 68, PARE",-,64211,0354391187,info@smkcbpare.sch.id,http://www.smkcbpare.sch.id,A,2331,1806,525,65
20534397,SMK PGRI 1 KEDIRI,SMK,SWASTA,Kota Kediri,Kec. Mojoroto,JL. HIMALAYA 6 KEDIRI,-,64114,0354771130,smkpgri1kdr@gmail.com,http://smkpgri1kediri.sch.id,A,2301,2190,111,65
20522652,SMP IBRAHIMY 1 SUKOREJO,SMP,SWASTA,Kab. Situbondo,Kec. Banyuputih,Jl. KHR. Syamsul Arifin Sumberejo Banyuputih Situbondo,Sukorejo,68374,03338452666,admin@smpibrahimy1sukorejo.sch.id,http://smpibrahimy1sukorejo.sch.id,A,2297,2296,1,70
20534784,SMKS TAMANSISWA MOJOKERTO,SMK,SWASTA,Kota Mojokerto,Kec. Magersari,JL. PANDERMAN VIII,PANDERMAN,61317,0321321206,smk_tamansiswa_mjk@yahoo.com,http://https://www.smktamansiswa-mjk.sch.id,A,2285,1952,333,68
20523756,SMKN 2 JEMBER,SMK,NEGERI,Kab. Jember,Kec. Sumbersari,JL. TAWANGMANGU 59,TegalGede,68126,0331337930,smknegeri2jember@gmail.com,http://www.smk.2jember.sch.id,A,2255,2083,172,67
20532210,SMK NEGERI 12 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Wonocolo,Jl. Siwalankerto Permai No. 1,-,60236,0318436687,smkn12surabaya@yahoo.com,http://www.smkn12surabaya.sch.id,A,2247,1119,1128,72
20522636,SMKN 1 PANJI SITUBONDO,SMK,NEGERI,Kab. Situbondo,Kec. Panji,JL. GUNUNG ARJUNO NO. 17,Mimbaan,68322,0338672507,smkn1panji@yahoo.com,http://www.smkn1panji-sit.sch.id,A,2234,1111,1123,66
20500411,SMKS PGRI 1 GRESIK,SMK,SWASTA,Kab. Gresik,Kec. Gresik,JL. DR. SUTOMO NO.46,-,61119,3981487,smkpgrigresik@gmail.com,http://www.smkpgri1gresik.sch.id,A,2228,1908,320,63
20514366,SMKS PGRI WLINGI,SMK,SWASTA,Kab. Blitar,Kec. Wlingi,JL. JENDRAL SUDIRMAN 86,-,66184,62342691224,smkpgri_wlg@yahoo.co.id,http://www.smkpgriwlingi.sch.id,A,2215,1509,706,71
20540077,SMKS ANTARTIKA 2 SIDOARJO,SMK,SWASTA,Kab. Sidoarjo,Kec. Buduran,JL. SIWALANPANJI,Siwalanpanji,61252,0318065117,smkantartikadua@gmail.com,http://smkantartika2-sda.sch.id,A,2215,1180,1035,65
20515449,SMKN 3 BOYOLANGU,SMK,NEGERI,Kab. Tulungagung,Kec. Boyolangu,JL. KI MANGUNSARKORO,Beji,66233,0355321415,info@smkn3boy.sch.id,http://www.smkn3boy.sch.id,A,2214,2071,143,60
20517712,SMKS BRANTAS KARANGKATES,SMK,SWASTA,Kab. Malang,Kec. Sumberpucung,JL. LOLARAS 14,Bandung,65165,0341385876,smk.brantasmalang@gmail.com,http://smkbrantaskarangkates.sch.id,A,2202,1524,678,63
20542524,SMK NEGERI 1 TRENGGALEK,SMK,NEGERI,Kab. Trenggalek,Kec. Trenggalek,JL. BRIGJEN SUTRAN NOMOR 3,-,66315,0355793177,esemkane1tl@yahoo.co.id,http://www.smkn1trenggalek.sch.id,A,2192,1569,623,63
20517758,SMKS MUHAMMADIYAH 7 GONDANGLEGI,SMK,SWASTA,Kab. Malang,Kec. Gondanglegi,JL. KH. A. DAHLAN 20 GONDANGLEGI,-,65174,0341879370,smkm7gdl@yahoo.com,http://www.smkmutumalang.sch.id,A,2165,1301,864,66
20517767,SMKN 1 TUREN,SMK,NEGERI,Kab. Malang,Kec. Turen,JL. PANGLIMA SUDIRMAN NO. 41,-,65175,0341824059,smkn1turenmalang@gmail.com,http://www.smkn1-turen.sch.id,A,2164,356,1808,62
70038015,SMA IBRAHIMY 2 SUKOREJO,SMA,SWASTA,Kab. Situbondo,Kec. Banyuputih,Komplek Pondok Putri Pondok Pesantren Salafiyah Syafi`iyah Sukorejo Situbondo,SUKOREJO,68374,0338452666,smaibrahimy2sukorejo@gmail.com,http://,A,2164,0,2164,47
20548806,SMKN 11 MALANG,SMK,NEGERI,Kota Malang,Kec. Sukun,JL. PELABUHAN BAKAHUNI NO. 1 MALANG,Bakalan Krajan,65148,0341836330,info@smkn11malang.sch.id,http://www.smkn11malang.sch.id,A,2154,1298,856,70
20542517,SMK NEGERI 2 TRENGGALEK,SMK,NEGERI,Kab. Trenggalek,Kec. Trenggalek,Jln. Ronggo warsito Gg Sidomukti No. 01,Sidomulyo,66315,03557690148,smkduatrenggalek@yahoo.co,http://www.smkn2trenggalek.sch.id,A,2147,1285,862,61
20535468,SMK NEGERI 1 PASURUAN,SMK,NEGERI,Kota Pasuruan,Kec. Panggungrejo,JL. VETERAN 11 PASURUAN,-,67122,0343421380,smk1pasuruan@yahoo.com,http://www.smkn1-pasuruan.sch.id,A,2147,961,1186,62
20509295,SMKN 1 BENDO MAGETAN,SMK,NEGERI,Kab. Magetan,Kec. Bendo,Jalan Raya Kec. Bendo,KELURAHAN BENDO,63384,0351439660,smkn1bendomagetan@gmail.com,http://smkn1bendo.sch.id,A,2132,1551,581,60
20558812,SMK NEGERI 1 NGASEM KABUPATEN KEDIRI,SMK,NEGERI,Kab. Kediri,Kec. Ngasem,"JALAN TOTOK KEROT, SUMBERJO, NGASEM",-,64182,547762,smkn1ngasem_kediri@yahoo.co.id,http://www.smkn1ngasem-kediri.sch.id,A,2114,1106,1008,60
20564067,SMKN 1 KEPANJEN,SMK,NEGERI,Kab. Malang,Kec. Kepanjen,JL. RAYA KEDUNGPEDARINGAN,Kedungpedaringan,65163,395777,smkn1kepanjen@ymail.com,http://smkn1kepanjen.sch.id,A,2107,1236,871,60
20501716,SMKS KRIAN 2 SIDOARJO,SMK,SWASTA,Kab. Sidoarjo,Kec. Krian,JL. SIDOARJO KRIAN,KATERUNGAN,61262,0318985188,mail@smkkrian2.sch.id,http://www.smkkrian2.sch.id,B,2104,1380,724,53
69775580,SMKN 2 TULUNGAGUNG,SMK,NEGERI,Kab. Tulungagung,Kec. Tulungagung,JL. JABALSARI - SUMBERGEMPOL - TULUNGAGUNG,,66291,08113737375,info@smkn2tulungagung.sch.id,http://smkn2tulungagung.sch.id,A,2104,1568,536,60
20525590,SMKN 1 BANYUWANGI,SMK,NEGERI,Kab. Banyuwangi,Kec. Giri,JL. WIJAYA KUSUMA 46,-,68425,0333424541,smkn1bwi.wk46@gmail.com,http://smkn1banyuwangi.sch.id,A,2093,430,1663,62
20535099,SMKN 3 BLITAR,SMK,NEGERI,Kota Blitar,Kec. Sananwetan,JL. SUDANCO SUPRIADI NO. 24 BLITAR,Bendogerit,66133,0342801621,smkn3_blitar@yahoo.co.id,http://www.smkn3blitar.sch.id,A,2051,410,1641,61
20548745,SMKN 2 BOYOLANGU,SMK,NEGERI,Kab. Tulungagung,Kec. Boyolangu,JL. KI MANGUNSARKORO VI/1,krajan,66233,322989,smkn2boyolangu@gmail.com,http://www.smkn2boyolangu.sch.id,A,2045,131,1914,58
20502706,SMKN 1 PUNGGING,SMK,NEGERI,Kab. Mojokerto,Kec. Pungging,JL. RAYA TRAWAS PUNGGING,Lebak Sono,61384,0321593257,smkn1pungging_mjk@yahoo.com,http://www.smkn1pungging.sch.id,A,2040,1179,861,57
20514364,SMKN 1 DOKO,SMK,NEGERI,Kab. Blitar,Kec. Doko,JL. PAHLAWAN,RESAPOMBO,66186,0342331676,smkn1doko@gmail.com,http://www.smkn1doko.sch.id,A,2029,1147,882,60
20505026,SMKN 1 TUBAN,SMK,NEGERI,Kab. Tuban,Kec. Tuban,JL. MASTRIP NO.2 SIDOREJO TUBAN,-,62315,0356321422,info@smkn1-tuban.sch.id,http://www.smkn1-tuban.sch.id,A,2025,1188,837,57
20507705,SMKN 2 JIWAN,SMK,NEGERI,Kab. Madiun,Kec. Jiwan,"Jl. Marsma TNI Anumerta R. Iswahjudi, Kwangsen No 149",SUKOSARI,63161,0351868386,info@smkn2jiwan.sch.id,http://smkn2jiwan.sch.id,A,2014,1289,725,60
20519278,SMKN 1 BANGIL,SMK,NEGERI,Kab. Pasuruan,Kec. Bangil,JL. TONGKOL NO. 3,Sukolipuro - Dermo,67153,0343744144,smknesaba@yahoo.com,https://smkn1bangil.sch.id,A,2013,974,1039,57
20534408,SMK NEGERI 2 KOTA KEDIRI ,SMK,NEGERI,Kota Kediri,Kec. Mojoroto,JL. VETERAN NO. 5 KEDIRI & JL. MONGINSIDI 36 KEDIRI,-,64114,771441,smkn2kediri@gmail.com,http://smkn2kediri.sch.id,A,2003,286,1717,57
20566440,SMKN 1 TULUNGAGUNG,SMK,NEGERI,Kab. Tulungagung,Kec. Tulungagung,JALAN RAYA BOYOLANGU KM 5 TULUNGAGUNG,-,66217,0355325853,smknegeri1tulungagung@gmail.com,http://smkn1tulungagung.sch.id,A,1995,1173,822,60
20519220,SMKN 1 GRATI,SMK,NEGERI,Kab. Pasuruan,Kec. Grati,JL. RAYA NGOPAK 1 GRATI,-,67184,0343482009,smkn1grati_pas@yahoo.co.id,http://www.smkn1grati.sch.id,A,1994,1281,713,57
20532197,SMKN 7 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Bubutan,JL. PAWIYATAN NO. 2 SURABAYA,BUBUTAN,60174,0315342407,smknegeri7sby@yahoo.com,http://www.smkn7sby.sch.id/,A,1989,1629,360,58
20525629,SMKN DARUL ULUM MUNCAR,SMK,NEGERI,Kab. Banyuwangi,Kec. Muncar,JL. KH. ASKANDAR KM.2 WRINGINPUTIH,Krajan,68472,0333597602,smkndu.muncar@gmail.com,http://smkndu-muncar.sch.id,A,1988,934,1054,57
20511927,SMK KARTANEGARA WATES,SMK,SWASTA,Kab. Kediri,Kec. Wates,Jl. Raya Kediri Dsn. Bondo Ds. Wates Kab. Kediri,-,64174,0354443103,admin@smkkartanegara.sch.id,http://smkkartanegara.sch.id,A,1980,1505,475,56
20570966,SMKS ISLAM BUSTANUL ULUM,SMK,SWASTA,Kab. Jember,Kec. Pakusari,JL. HIMALAYA NO.17 PAKUSARI,ROWO,68181,0331591880,smkibupakusari1@gmail.com,http://www.smkibu.sch.id,B,1972,1034,938,60
20519149,SMKN 1 PURWOSARI,SMK,NEGERI,Kab. Pasuruan,Kec. Purwosari,JL. RAYA PURWOSARI PASURUAN,PURWOSARI,67162,085136075267,purwosarismkn1@yahoo.co.id,https://www.smkn1purwosari.sch.id,A,1968,1054,914,57
20536289,SMKN 2 PROBOLINGGO,SMK,NEGERI,Kota Probolinggo,Kec. Kanigaran,JL. MASTRIP NO.153 PROBOLINGGO,Kanigaran,67213,0335421324,info@smkn2-pbl.sch.id,http://smkn2-pbl.sch.id,A,1955,1827,128,60
20539749,SMKN 10 MALANG,SMK,NEGERI,Kota Malang,Kec. Kedungkandang,JL. RAYA TLOGOWARU NO. 1 ,Tlogowaru,65133,0341754086,smkn10_malang@yahoo.co.id,http://www.smkn10-mlg.sch.id,A,1935,1333,602,60
20507713,SMKN 1 WONOASRI,SMK,NEGERI,Kab. Madiun,Kec. Wonoasri,JL. PANGLIMA SUDIRMAN NO. 1,PURWOSARI,63157,0351383079,smkpink@smkn1wonoasri.sch.id,http://smkn1wonoasri.sch.id,A,1927,1050,877,54
20503372,SMK NEGERI 3 JOMBANG,SMK,NEGERI,Kab. Jombang,Kec. Jombang,JL. PATIMURA NO. 6 JOMBANG,Sengon,61418,0321862138,smkn3jmb@yahoo.com,http://www.smkn3-jbg.sch.id,A,1920,1717,203,55
20533814,SMKN 2 MALANG,SMK,NEGERI,Kota Malang,Kec. Lowokwaru,JL. VETERAN 17 MALANG,KETAWANGGEDE,65145,0341551504,smkn2malang@yahoo.com,http://www.smkn2malang.sch.id,A,1918,584,1334,57
20546537,SMKN 2 KRAKSAAN,SMK,NEGERI,Kab. Probolinggo,Kec. Kraksaan,JL. DIPONEGORO NO.5,-,67282,0335846407,smkn2kraksaan@gmail.com,http://www.smkn2kraksaan.sch.id,A,1916,1280,636,57
20547845,SMK NEGERI 1 PAGERWOJO,SMK,NEGERI,Kab. Tulungagung,Kec. Pagerwojo,JL. RAYA PAGERWOJO DS. MULYOSARI KEC. PAGERWOJO KAB. TULUNGAGUNG,Suweru,66262,08283323395,smknpagerwojo@gmail.com,http://www.smknpagerwojo.sch.id,A,1893,1193,700,60
20504482,SMKN 2 BOJONEGORO,SMK,NEGERI,Kab. Bojonegoro,Kec. Bojonegoro,JL. Pattimura No. 3,Sumbang,62115,0353881912,smkn2.bojonegoro@yahoo.com,http://www.smkn2bojonegoro.sch.id,A,1876,1445,431,54
20503425,SMK PGRI 1 JOMBANG,SMK,SWASTA,Kab. Jombang,Kec. Jombang,JL. PATTIMURA V NO.75 JOMBANG,-,61418,0321862160,smkpgri1jombang@gmail.com,http://www.smkpgri1jombang.sch.id,A,1873,483,1390,52
20542523,SMK NEGERI 1 POGALAN,SMK,NEGERI,Kab. Trenggalek,Kec. Pogalan,JL.TULUNGAGUNG NO. 3 Tlp.(0355)-791371,Ngetal,66371,0355791371,info@smkn1pogalan.sch.id,http://www.smkn1pogalan.sch.id,A,1860,412,1448,54
20500423,SMKN 1 CERME GRESIK,SMK,NEGERI,Kab. Gresik,Kec. Cerme,JL. JURIT CERME,-,61171,0317992471,smkn1cermegresik@yahoo.co.id,http://www.smkn1cermegresik.sch.id,A,1857,1021,836,54
20521449,SMKN 1 LUMAJANG,SMK,NEGERI,Kab. Lumajang,Kec. Lumajang,JL. HOS. COKROAMINOTO 161,-,67311,881866,info@smkn1lmj.sch.id,http://www.smkn1lmj.sch.id,A,1856,883,973,54
20509296,SMKS YOSONEGORO,SMK,SWASTA,Kab. Magetan,Kec. Magetan,JL. TRIPANDITA NO.04,-,63319,0351895316,smkyosonegoro@yahoo.com,http://www.smk-yosonegoro.sch.id,A,1856,1782,74,58
20542536,SMKN 1 GEMPOL,SMK,NEGERI,Kab. Pasuruan,Kec. Gempol,JL. DAU DARMOREJO,Kepulungan,67155,0343635726,smkn1_gempol@yahoo.co.id,http://www.smkn1gempol.sch.id,A,1853,1096,757,54
20534179,SMKN 1 MADIUN,SMK,NEGERI,Kota Madiun,Kec. Kartoharjo,JL. M.H THAMRIN 1 MADIUN,,63115,0351462833,kantor@smkn1madiun.sch.id,http://smkn1madiun.sch.id,A,1851,1710,141,54
20566286,SMKN 2 SINGOSARI,SMK,NEGERI,Kab. Malang,Kec. Singosari,JL. PERUSAHAAN  NO.20 TUNJUNGTIRTO-SINGOSARI,TUNJUNGTIRTO,65153,03414345127,smkn2.singosari@yahoo.co.id,http://www.smkn2-singosari.sch.id,A,1849,1059,790,55
20557276,SMKN 1 NGLEGOK,SMK,NEGERI,Kab. Blitar,Kec. Nglegok,Jl. Penataran No. 1 Nglegok Kec. Nglegok Kab. Blitar,-,66181,0342561355,smkn1_nglegok@yahoo.com,http://smkn1nglegok.sch.id,A,1845,813,1032,53
20541319,SMKS DHARMA BAHARI,SMK,SWASTA,Kota Surabaya,Kec. Tandes,JL. SIKATAN LEBAR XVI NO. 1-5 TANDES SURABAYA,-,60185,0317420948,ict.smkdbs@gmail.com,http://www.smkdharmabahari.sch.id,B,1844,1538,306,49
20523734,SMKN 1 JEMBER,SMK,NEGERI,Kab. Jember,Kec. Patrang,JL. JAMBU NO. 17,Krajan,68111,0331483108,smknegeri1jember@yahoo.com,http://www.smknegeri1jember.sch.id,A,1826,791,1035,54
20540177,SMKN 1 TEGALSARI,SMK,NEGERI,Kab. Banyuwangi,Kec. Tegalsari,JL. KH. ABDUL MAJID NO. 09,KRAJAN 2,68491,03335980920,smkn1tegalsaribwi@gmail.com,http://www.smkn1tegalsari.sch.id,A,1825,951,874,50
20511947,SMK NEGERI 1 PLOSOKLATEN KABUPATEN KEDIRI,SMK,NEGERI,Kab. Kediri,Kec. Plosoklaten,Jl. Pare - Wates KM. 7,-,64175,0354392619,smkn.plosoklaten@gmail.com,http://smkn1plosoklaten.sch.id,A,1824,849,975,53
20551643,SMA BUDI UTOMO PERAK,SMA,SWASTA,Kab. Jombang,Kec. Perak,GADINGMANGU PERAK,GADING,61461,0321860816,smabudiutomoperak@gmail.com,http://www.smabudiutomoperak.sch.id,A,1818,772,1046,51
20533813,SMKN 1 MALANG,SMK,NEGERI,Kota Malang,Kec. Sukun,JL. SONOKEMBANG / JANTI,-,65148,0341326630,smkn1_mlg@yahoo.com,http://smkn1malang.sch.id/,A,1818,486,1332,54
20503375,SMK NEGERI 1 JOMBANG,SMK,NEGERI,Kab. Jombang,Kec. Jombang,JL. DR. SUTOMO 15 JOMBANG,SENGON,61415,0321861516,kantor@smkn1jombang.sch.id,http://smkn1jombang.sch.id,A,1816,199,1617,51
20533817,SMKN 5 MALANG,SMK,NEGERI,Kota Malang,Kec. Lowokwaru,JL. IKAN PIRANHA ATAS,-,65142,478195,info@smkn5malang.sch.id,http://www.smkn5malang.sch.id,A,1781,931,850,57
20506249,SMK NEGERI 1 LAMONGAN,SMK,NEGERI,Kab. Lamongan,Kec. Lamongan,JL. JEND SUDIRMAN 84 LAMONGAN,-,62212,63363637,smknlamongan@yahoo.com,http://www.smkn1lamongan.sch.id,A,1774,647,1127,51
20539063,SMKN 1 BADEGAN,SMK,NEGERI,Kab. Ponorogo,Kec. Badegan,JL. SUYUDONO NO.01,Nglambong,63455,0352751034,smkn1badegan@gmail.com,https://www.smkn1badegan.sch.id,A,1774,1089,685,45
20532180,SMKS KETINTANG SURABAYA,SMK,SWASTA,Kota Surabaya,Kec. Wonokromo,JL. KETINTANG NO. 147-151 SURABAYA,Wonokromo,60243,0318284121,smkketintang@gmail.com,http://smkketintang.sch.id,A,1765,826,939,53
20517714,SMKS BINA BANGSA DAMPIT,SMK,SWASTA,Kab. Malang,Kec. Dampit,JL. RAYA MAJANG TENGAH DAMPIT,Krajan,65181,0341897040,smkbisadpt@yahoo.co.id,http://smkbisadampit.sch.id,A,1764,1257,507,54
20577261,SMKS SEPULUH NOPEMBER SIDOARJO,SMK,SWASTA,Kab. Sidoarjo,Kec. Buduran,RAYA SIWALAN PANJI,SIWALANPANJI,61252,0318050111,smksepuluhnopembersda@gmail.com,http://www.smksepuluhnopembersda.sch.id/,A,1755,127,1628,45
20505025,SMKN 2 TUBAN,SMK,NEGERI,Kab. Tuban,Kec. Tuban,JL PROF. MOCH. YAMIN NO.106 KEBONSARI TUBAN,Kebonsari,62317,0356321255,smknduatbn@gmail.com,http://www.smkn2tuban.sch.id,A,1749,137,1612,54
20548807,SMKN 12 MALANG,SMK,NEGERI,Kota Malang,Kec. Blimbing,JL. PAHLAWAN BALEARJOSARI,-,65126,0341400884,surat@smkn12malang.sch.id,http://www.smkn12malang.sch.id,A,1741,851,890,51
20505029,SMKS TARUNA JAYA PRAWIRA TUBAN,SMK,SWASTA,Kab. Tuban,Kec. Tuban,"JL. DR. WAHIDIN SUDIROHUSODO, SIDOREJO TUBAN",-,62315,0356324379,info@smktjp.sch.id,http://www.smktjp.sch.id,A,1726,1665,61,57
20540110,SMKS YPM 8 SIDOARJO,SMK,SWASTA,Kab. Sidoarjo,Kec. Sidoarjo,JL. RAYA SARIROGO NO.481,-,61251,081230080007,smkypm8sda@gmail.com,http://smkypm8.sch.id,A,1709,1364,345,41
20541258,SMKN 1 BOJONEGORO,SMK,NEGERI,Kab. Bojonegoro,Kec. Bojonegoro,JL. PANGLIMA POLIM 50,-,62115,0353881310,smknegeri1bojonegoro@yahoo.com,http://www.smkn1bojonegoro.sch.id,A,1707,141,1566,51
